Date,S&P,Nasdaq
2016-08-03,2163.790039,5159.740234
2016-08-04,2164.25,5166.25
2016-08-05,2182.870117,5221.120117
2016-08-08,2180.889893,5213.140137
2016-08-09,2181.73999,5225.47998
2016-08-10,2175.48999,5204.580078
2016-08-11,2185.790039,5228.399902
2016-08-12,2184.050049,5232.890137
2016-08-15,2190.149902,5262.02002
2016-08-16,2178.149902,5227.109863
2016-08-17,2182.219971,5228.660156
2016-08-18,2187.02002,5240.149902
2016-08-19,2183.870117,5238.379883
2016-08-22,2182.639893,5244.600098
2016-08-23,2186.899902,5260.080078
2016-08-24,2175.439941,5217.689941
2016-08-25,2172.469971,5212.200195
2016-08-26,2169.040039,5218.919922
2016-08-29,2180.379883,5232.330078
2016-08-30,2176.120117,5222.990234
2016-08-31,2170.949951,5213.220215
2016-09-01,2170.860107,5227.209961
2016-09-02,2179.97998,5249.899902
2016-09-06,2186.47998,5275.910156
2016-09-07,2186.159912,5283.930176
2016-09-08,2181.300049,5259.47998
2016-09-09,2127.810059,5125.910156
2016-09-12,2159.040039,5211.890137
2016-09-13,2127.02002,5155.25
2016-09-14,2125.77002,5173.77002
2016-09-15,2147.26001,5249.689941
2016-09-16,2139.159912,5244.569824
2016-09-19,2139.120117,5235.029785
2016-09-20,2139.76001,5241.350098
2016-09-21,2163.120117,5295.180176
2016-09-22,2177.179932,5339.52002
2016-09-23,2164.689941,5305.75
2016-09-26,2146.100098,5257.490234
2016-09-27,2159.929932,5305.709961
2016-09-28,2171.370117,5318.549805
2016-09-29,2151.129883,5269.149902
2016-09-30,2168.27002,5312
2016-10-03,2161.199951,5300.870117
2016-10-04,2150.48999,5289.660156
2016-10-05,2159.72998,5316.02002
2016-10-06,2160.77002,5306.850098
2016-10-07,2153.73999,5292.399902
2016-10-10,2163.659912,5328.669922
2016-10-11,2136.72998,5246.790039
2016-10-12,2139.179932,5239.02002
2016-10-13,2132.550049,5213.330078
2016-10-14,2132.97998,5214.160156
2016-10-17,2126.5,5199.819824
2016-10-18,2139.600098,5243.839844
2016-10-19,2144.290039,5246.410156
2016-10-20,2141.340088,5241.830078
2016-10-21,2141.159912,5257.399902
2016-10-24,2151.330078,5309.830078
2016-10-25,2143.159912,5283.399902
2016-10-26,2139.429932,5250.27002
2016-10-27,2133.040039,5215.970215
2016-10-28,2126.409912,5190.100098
2016-10-31,2126.149902,5189.140137
2016-11-01,2111.719971,5153.580078
2016-11-02,2097.939941,5105.569824
2016-11-03,2088.659912,5058.410156
2016-11-04,2085.179932,5046.370117
2016-11-07,2131.52002,5166.169922
2016-11-08,2139.560059,5193.490234
2016-11-09,2163.26001,5251.069824
2016-11-10,2167.47998,5208.799805
2016-11-11,2164.449951,5237.109863
2016-11-14,2164.199951,5218.399902
2016-11-15,2180.389893,5275.620117
2016-11-16,2176.939941,5294.580078
2016-11-17,2187.120117,5333.970215
2016-11-18,2181.899902,5321.509766
2016-11-21,2198.179932,5368.859863
2016-11-22,2202.939941,5386.350098
2016-11-23,2204.719971,5380.680176
2016-11-25,2213.350098,5398.919922
2016-11-28,2201.719971,5368.810059
2016-11-29,2204.659912,5379.919922
2016-11-30,2198.810059,5323.680176
2016-12-01,2191.080078,5251.109863
2016-12-02,2191.949951,5255.649902
2016-12-05,2204.709961,5308.890137
2016-12-06,2212.22998,5333
2016-12-07,2241.350098,5393.759766
2016-12-08,2246.189941,5417.359863
2016-12-09,2259.530029,5444.5
2016-12-12,2256.959961,5412.540039
2016-12-13,2271.719971,5463.830078
2016-12-14,2253.280029,5436.669922
2016-12-15,2262.030029,5456.850098
2016-12-16,2258.070068,5437.160156
2016-12-19,2262.530029,5457.439941
2016-12-20,2270.76001,5483.939941
2016-12-21,2265.179932,5471.430176
2016-12-22,2260.959961,5447.419922
2016-12-23,2263.790039,5462.689941
2016-12-27,2268.879883,5487.439941
2016-12-28,2249.919922,5438.560059
2016-12-29,2249.26001,5432.089844
2016-12-30,2238.830078,5383.120117
2017-01-03,2257.830078,5429.080078
2017-01-04,2270.75,5477
2017-01-05,2269,5487.939941
2017-01-06,2276.97998,5521.060059
2017-01-09,2268.899902,5531.819824
2017-01-10,2268.899902,5551.819824
2017-01-11,2275.320068,5563.649902
2017-01-12,2270.439941,5547.490234
2017-01-13,2274.639893,5574.120117
2017-01-17,2267.889893,5538.72998
2017-01-18,2271.889893,5555.649902
2017-01-19,2263.689941,5540.080078
2017-01-20,2271.310059,5555.330078
2017-01-23,2265.199951,5552.939941
2017-01-24,2280.070068,5600.959961
2017-01-25,2298.370117,5656.339844
2017-01-26,2296.679932,5655.180176
2017-01-27,2294.689941,5660.779785
2017-01-30,2280.899902,5613.709961
2017-01-31,2278.870117,5614.790039
2017-02-01,2279.550049,5642.649902
2017-02-02,2280.850098,5636.200195
2017-02-03,2297.419922,5666.77002
2017-02-06,2292.560059,5663.549805
2017-02-07,2293.080078,5674.220215
2017-02-08,2294.669922,5682.450195
2017-02-09,2307.870117,5715.180176
2017-02-10,2316.100098,5734.129883
2017-02-13,2328.25,5763.959961
2017-02-14,2337.580078,5782.569824
2017-02-15,2349.25,5819.439941
2017-02-16,2347.219971,5814.899902
2017-02-17,2351.159912,5838.580078
2017-02-21,2365.379883,5865.950195
2017-02-22,2362.820068,5860.629883
2017-02-23,2363.810059,5835.509766
2017-02-24,2367.340088,5845.310059
2017-02-27,2369.75,5861.899902
2017-02-28,2363.639893,5825.439941
2017-03-01,2395.959961,5904.029785
2017-03-02,2381.919922,5861.220215
2017-03-03,2383.120117,5870.75
2017-03-06,2375.310059,5849.180176
2017-03-07,2368.389893,5833.930176
2017-03-08,2362.97998,5837.549805
2017-03-09,2364.870117,5838.810059
2017-03-10,2372.600098,5861.72998
2017-03-13,2373.469971,5875.779785
2017-03-14,2365.449951,5856.819824
2017-03-15,2385.26001,5900.049805
2017-03-16,2381.379883,5900.759766
2017-03-17,2378.25,5901
2017-03-20,2373.469971,5901.529785
2017-03-21,2344.02002,5793.830078
2017-03-22,2348.449951,5821.640137
2017-03-23,2345.959961,5817.689941
2017-03-24,2343.97998,5828.740234
2017-03-27,2341.590088,5840.370117
2017-03-28,2358.570068,5875.140137
2017-03-29,2361.129883,5897.549805
2017-03-30,2368.060059,5914.339844
2017-03-31,2362.719971,5911.740234
2017-04-03,2358.840088,5894.680176
2017-04-04,2360.159912,5898.609863
2017-04-05,2352.949951,5864.47998
2017-04-06,2357.48999,5878.950195
2017-04-07,2355.540039,5877.810059
2017-04-10,2357.159912,5880.930176
2017-04-11,2353.780029,5866.77002
2017-04-12,2344.929932,5836.160156
2017-04-13,2328.949951,5805.149902
2017-04-17,2349.01001,5856.790039
2017-04-18,2342.189941,5849.470215
2017-04-19,2338.169922,5863.029785
2017-04-20,2355.840088,5916.779785
2017-04-21,2348.689941,5910.52002
2017-04-24,2374.149902,5983.819824
2017-04-25,2388.610107,6025.490234
2017-04-26,2387.449951,6025.22998
2017-04-27,2388.77002,6048.939941
2017-04-28,2384.199951,6047.609863
2017-05-01,2388.330078,6091.600098
2017-05-02,2391.169922,6095.370117
2017-05-03,2388.129883,6072.549805
2017-05-04,2389.52002,6075.339844
2017-05-05,2399.290039,6100.759766
2017-05-08,2399.379883,6102.660156
2017-05-09,2396.919922,6120.589844
2017-05-10,2399.629883,6129.140137
2017-05-11,2394.439941,6115.959961
2017-05-12,2390.899902,6121.22998
2017-05-15,2402.320068,6149.669922
2017-05-16,2400.669922,6169.870117
2017-05-17,2357.030029,6011.240234
2017-05-18,2365.719971,6055.129883
2017-05-19,2381.72998,6083.700195
2017-05-22,2394.02002,6133.620117
2017-05-23,2398.419922,6138.709961
2017-05-24,2404.389893,6163.02002
2017-05-25,2415.070068,6205.259766
2017-05-26,2415.820068,6210.189941
2017-05-30,2412.909912,6203.189941
2017-05-31,2411.800049,6198.52002
2017-06-01,2430.060059,6246.830078
2017-06-02,2439.070068,6305.799805
2017-06-05,2436.100098,6295.680176
2017-06-06,2429.330078,6275.060059
2017-06-07,2433.139893,6297.379883
2017-06-08,2433.790039,6321.759766
2017-06-09,2431.77002,6207.919922
2017-06-12,2429.389893,6175.459961
2017-06-13,2440.350098,6220.370117
2017-06-14,2437.919922,6194.890137
2017-06-15,2432.459961,6165.5
2017-06-16,2433.149902,6151.759766
2017-06-19,2453.459961,6239.009766
2017-06-20,2437.030029,6188.029785
2017-06-21,2435.610107,6233.950195
2017-06-22,2434.5,6236.689941
2017-06-23,2438.300049,6265.25
2017-06-26,2439.070068,6247.149902
2017-06-27,2419.379883,6146.620117
2017-06-28,2440.689941,6234.410156
2017-06-29,2419.699951,6144.350098
2017-06-30,2423.409912,6140.419922
2017-07-03,2429.01001,6110.060059
2017-07-05,2432.540039,6150.859863
2017-07-06,2409.75,6089.459961
2017-07-07,2425.179932,6153.080078
2017-07-10,2427.429932,6176.390137
2017-07-11,2425.530029,6193.299805
2017-07-12,2443.25,6261.169922
2017-07-13,2447.830078,6274.439941
2017-07-14,2459.27002,6312.470215
